,,,,,,,,,,,
title ,Creator,objectid,filename,format,Physical Format,Rights Holder,Ingredients,Cook Time,Serving Size ,Occasion,Language
Gazpacho,Edie Merryman,em0001,em0001.pdf,application/pdf,Recipe Card,Edie Merryman,"Tomatoes, cucumber, green pepper, celery, onion, vinegar, olive oil, garlic powder, salt, sugar",Chill 4 hours,,,English
Key Lime Pie,Edie Merryman,em0002,em0002.pdf,application/pdf,Recipe Card,Edie Merryman,"Egg Yolks, Sweetened Condensed Milk, lime juice, egg whites",Bake 20 min,,,English
White Chili,Edie Merryman,em0003,em0003.pdf,application/pdf,Recipe Card,Edie Merryman,"Onion, garlic, chicken breast, cumin, Great Northern Beans, Garbanzo Beans, White corn, green chilies, chicken boullion, water, Jack Cheese, Blue Corn Chips",,,,English
Snickerdoodles,Edie Merryman,em0004,em0004.pdf,application/pdf,Recipe Card,Edie Merryman,"Shortening, sugar, eggs, flour, baking soda, cream of tartar,  salt, cinnamon sugar",Bake 8-10 min,,,English
Potato Sausage Chowder,Edie Merryman,em0005,em0005.pdf,application/pdf,Recipe Card,Edie Merryman,"Onion, celery, butter, chicken broth, salt, pepper, potato, milk, 1/2 & 1/2, parsley, Cheddar Cheese, Pork Sausage",,,,English
Overnite Lasagna,Edie Merryman,em0006,em0006.pdf,application/pdf,Recipe Card,Edie Merryman,"Lasagna Noodles, ground beef, cottage cheese, spaghetti sauce, mozzerella, parmesan",Bake 45-60 min,Serves 6,,English
Apple Cream Pie,Edie Merryman,em0007,em0007.pdf,application/pdf,Recipe Card,Edie Merryman,"Apples, vanilla, flour, sugar",Bake 10 min,,,English
Sheperds Pie,Edie Merryman,em0008,em0008.pdf,application/pdf,Recipe Card,Edie Merryman,"Green Beans, ground beef, tomato soup, mashed potatoes, cheese, worchestershire sauce",Cook 35 min,,,English
Italian Meat Loaves,Edie Merryman,em0009,em0009.pdf,application/pdf,Recipe Card,Edie Merryman,"Eggs, cracker crumbs, milk, parmesan, onion, worchestershire sauce, salt, Italian seasoning, ground pork, ketchup",,,,English
Graham Cracker Crisps,Edie Merryman,em0010,em0010.pdf,application/pdf,Recipe Card,Edie Merryman,"Oleo, sugar, graham crackers",Bake 8 min,,,English
Cassoulet,Edie Merryman,em0011,em0011.pdf,application/pdf,Recipe Card,Edie Merryman,"Great Northern Beans, onion, celery, mild Italian sausage, stew meat, pork chop, garlic, thyme, water, beef boullion",Cook 8-10 hours,,,English
Quick Potato Chowder,Edie Merryman,em0012,em0012.pdf,application/pdf,Recipe Card,Edie Merryman,"Bacon, onion, water, hash browns, milk, seasoned salt, pepper, ",,,,English
Roast Red Potatoes & Onion,Edie Merryman,em0013,em0013.pdf,application/pdf,Recipe Card,Edie Merryman,"Red Potatoes, onion, olive oil, salt, pepper",Cook 45 min,,,English
Easy Broccoli Soup,Edie Merryman,em0014,em0014.pdf,application/pdf,Recipe Card,Edie Merryman,"Water, chicken boullion, celery, broccoli, 1/2 & 1/2, lour, butter, velveeta cheese",,,,English
Italian Beef,Edie Merryman,em0015,em0015.pdf,application/pdf,Recipe Card,Edie Merryman,"Beef Roast, Italian seasoning, au jus mix, beef broth, ",Cook 8 Hours,,Christmas Cooking,English
